Old Code,New Code
BE#BR,BE:brussels
BEANC,BE:antwerpen
BEBUC,BE:bruxelles_central
BEFAA,BE:liege
BEZYR,BE:brussels_midi
ESBCN,ES:barcelona
ESMAD,ES:madrid
FR#AV,FR:avignon
FR#CQ,FR:calais
FR#LI,FR:lille
FR#LY,FR:lyon
FR#PA,FR:paris
FR@MA,FR:marseille
FRACQ,FR:reims
FRANE,FR:angers
FRBOD,FR:bordeaux
FRBYX,FR:bayeux
FRCWP,FR:clermont_ferrand
FRDIJ,FR:dijon_ville
FRGNB,FR:grenoble
FRGNL,FR:grenoble
FRGNR,FR:grenoble_gare_routiere
FRHTF,FR:lyon_jean_mace
FRHWR,CH:lausanne
FRLEH,FR:le_havre
FRLME,FR:le_mans_2
FRLYA,FR:lyon_st_exupery_tgv
FRLYS,FR:paris_lyon
FRMZM,FR:metz
FRNCE,FR:nice
FRNCY,FR:annecy
FROLS,FR:orleans
FRPMO,FR:paris_montparnasse
FRPTR,FR:poitiers
FRQJZ,FR:nantes
FRQMU,FR:moutiers_salins_brides_les_bains
FRQXB,FR:aix_en_provence_tgv
FRRNL,FR:rennes
FRSXB,FR:strasbourg
FRTLS,FR:toulouse
FRTUF,FR:tours
FRVAV,FR:valence
FRVKN,FR:annecy
FRXCF,FR:chamonix_mont_blanc
FRXPG,FR:paris_nord
FRXYD,FR:lyon_part_dieu
FRXYL,FR:lyon_perrache
FRXZN,FR:avignon_tgv
FRXZZ,FR:beziers
FRZRI,FR:biarritz
NL@AM,NL:amsterdam
NLRTB,NL:rotterdam
NLZYA,NL:amsterdam_centraal